34.227.110.80 - - [04/Apr/2026:02:52:49 +0000] "GET / HTTP/1.1" 504 176 "-" "curl/8.5.0"
34.122.147.229 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2 HTTP/1.1" 200 48432 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.72.176.129 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/16_nc415qufg~.css HTTP/1.1" 200 19489 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/media/caa3a2e1cccd8315-s.p.16t1db8_9y2o~.woff2 HTTP/1.1" 200 28388 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0x0vvv-q_fft0.js HTTP/1.1" 200 8937 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
104.197.69.115 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0yb2wil16uz6h.js HTTP/1.1" 200 2030 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.72.176.129 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0pqt~8bl3ukh4.js HTTP/1.1" 200 9256 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/turbopack-0mx~3sqe20~u~.js HTTP/1.1" 200 4178 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
104.197.69.115 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0o59ac8426icc.js HTTP/1.1" 200 37203 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0vkgb7xyv-nko.js HTTP/1.1" 200 71058 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.72.176.129 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0.tygqh~nqra1.js HTTP/1.1" 200 3678 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
